genome_refseq_accession,protein_name,protein_refseq_accession
GCF_006547405.1,HTT,XP_030732628.1
GCF_907164565.1,HTT,XP_055480207.1
GCF_009762305.2,HTT,XP_027454754.1
GCF_000622305.1,HTT,XP_008840091.1
GCF_000622305.1,HTT,XP_029423555.1
GCF_000151735.1,HTT,XP_003461904.1
GCF_001890085.2,HTT,XP_019513497.1
GCF_006547405.1,HTT,XP_030732629.1
GCF_000151735.1,HTT,XP_013013172.1
GCF_014570535.1,HTT,KAI5945704.1
GCF_011764305.1,HTT,XP_044931020.1
GCF_020740685.1,HTT,XP_045017499.1
GCF_000247695.1,HTT,XP_004847425.2
GCF_000001635.27,HTT,AAA37799.1
GCF_023159225.1,HTT,XP_048220860.1
GCF_011100685.1,HTT,XP_013968016.1
GCF_000247695.1,HTT,XP_021116024.1
GCF_014176215.1,HTT,XP_016014684.2
GCF_006547405.1,HTT,XP_030732630.1
GCF_000151735.1,HTT,XP_013013179.1
GCF_009762305.2,HTT,XP_027454755.1
GCF_002863925.1,HTT,XP_023494236.1
GCF_014176215.1,HTT,XP_036083329.1
GCF_001890085.2,HTT,XP_019513498.1
GCF_023159225.1,HTT,XP_048220861.1
GCF_011764305.1,HTT,XP_044931018.1
GCF_020740685.1,HTT,XP_045017501.1
GCF_001890085.2,HTT,XP_019513499.1
GCF_000247695.1,HTT,XP_021116026.1
GCF_006547405.1,HTT,XP_030732631.1
GCF_014176215.1,HTT,XP_036083328.1
GCF_000247695.1,HTT,XP_021116023.1
GCF_006547405.1,HTT,XP_030732632.1
GCF_015220235.1,HTT,XP_037685228.1
GCF_001890085.2,HTT,XP_019513500.1
GCF_000247695.1,HTT,XP_021116027.1
GCF_015220235.1,HTT,XP_037685230.1
GCF_000247695.1,HTT,XP_021116025.1
GCF_000247695.1,HTT,EHB14663.1
GCF_000001635.27,HTT,XP_006503807.1
GCF_015220235.1,HTT,XP_037685229.1
GCF_011100635.1,HTT,XP_036618703.1
GCF_027595985.1,HTT,XP_054996423.1
GCF_000003025.6,HTT,NP_999129.1
GCF_000151735.1,HTT,XP_013013185.1
GCF_002099425.1,HTT,XP_020847812.1
GCF_902635505.1,HTT,XP_031799840.1
GCF_000003025.6,HTT,XP_020956105.1
GCF_000247695.1,HTT,XP_021116028.1
GCF_027887165.1,HTT,XP_001364862.1
GCF_011100635.1,HTT,XP_036618702.1
GCF_000003025.6,HTT,XP_013833955.2
GCF_027595985.1,HTT,XP_054996424.1
GCF_027595985.1,HTT,XP_054996425.1
GCF_902635505.1,HTT,XP_031799841.1
GCF_027887165.1,HTT,XP_016278827.1
GCF_019393635.1,HTT,XP_043828163.1
GCF_027595985.1,HTT,XP_054996426.1
GCF_027887165.1,HTT,XP_016278828.1
GCF_014108235.1,HTT,XP_036183437.1
GCF_000003025.6,HTT,XP_020956106.1
GCF_902635505.1,HTT,XP_031799842.1
GCF_002099425.1,HTT,XP_020847810.1
GCF_014108235.1,HTT,XP_036183442.1
GCF_014108235.1,HTT,XP_036183448.1
GCF_000003025.6,HTT,XP_020956104.1
GCF_002099425.1,HTT,XP_020847811.1
GCF_006547405.1,HTT,XP_030732633.1
GCF_005870125.1,HTT,XP_021406409.1
GCF_014108235.1,HTT,XP_036183458.1
GCF_000622305.1,HTT,XP_029423556.1
GCF_016699485.2,HTT,XP_040526088.1
GCF_016699485.2,HTT,XP_420822.3
GCF_016699485.2,HTT,XP_040526086.1
GCF_014108235.1,HTT,XP_036183467.1
GCF_005870125.1,HTT,XP_021406410.1
GCF_016699485.2,HTT,XP_040526087.1
GCF_002863925.1,HTT,XP_023494237.1
GCF_004115215.2,HTT,XP_028917781.1
GCF_004329235.1,HTT,XP_028599775.1
GCF_015852505.1,HTT,XP_038600472.1
GCF_004329235.1,HTT,XP_028599776.1
GCF_000004195.4,HTT,XP_012811191.1
GCF_000004195.4,HTT,XP_031751173.1
GCF_000004195.4,HTT,XP_031751174.1
GCF_000004195.4,HTT,XP_012811192.1
GCF_002863925.1,HTT,XP_023494239.1
GCF_006547405.1,HTT,XP_030732635.1
GCF_006547405.1,HTT,XP_030732637.1
GCF_006547405.1,HTT,XP_030732634.1
GCF_001890085.2,HTT,XP_019513501.1
GCF_000004195.4,HTT,KAE8628987.1
GCF_000004195.4,HTT,KAE8628988.1
GCF_015220235.1,HTT,XP_037685232.1
GCF_015220235.1,HTT,XP_037685231.1
GCF_028641065.1,HTT,XP_055488270.1
GCF_028641065.1,HTT,XP_055488269.1
GCF_006547405.1,HTT,XP_030732638.1
GCF_001858045.2,HTT,XP_019215564.1
GCF_001858045.2,HTT,XP_005458637.1
GCF_900408965.1,HTT,XP_039860826.1
GCF_900408965.1,HTT,XP_039860825.1
GCF_900408965.1,HTT,XP_039860824.1
GCF_001858045.2,HTT,XP_019215563.1
GCF_001858045.2,HTT,XP_013132119.1
GCF_900408965.1,HTT,XP_039860820.1
GCF_900408965.1,HTT,XP_039860818.1
GCF_900408965.1,HTT,XP_039860817.1
GCF_900408965.1,HTT,XP_039860819.1
GCF_011764305.1,HTT,CAI5679251.1
GCF_011764305.1,HTT,CAI5679248.1
GCF_011764305.1,HTT,CAI5679249.1
GCF_027744805.1,HTT,XP_054635489.1
GCF_001858045.2,HTT,XP_013132121.1
GCF_011764305.1,HTT,CAI5679250.1
GCF_027744805.1,HTT,XP_054635488.1
GCF_900408965.1,HTT,XP_039860827.1
GCF_001858045.2,HTT,XP_013132120.1
GCF_900408965.1,HTT,XP_039860823.1
GCF_027744805.1,HTT,XP_054635481.1
GCF_027744805.1,HTT,XP_054635480.1
GCF_027744805.1,HTT,XP_054635490.1
GCF_027744805.1,HTT,XP_054635482.1
GCF_027744805.1,HTT,XP_054635483.1
GCF_902827165.1,HTT,XP_033985029.1
GCF_027744805.1,HTT,XP_054635486.1
GCF_027744805.1,HTT,XP_054635484.1
GCF_027744805.1,HTT,XP_054635487.1
GCF_000004195.4,HTT,KAE8628989.1
GCF_001890085.2,HTT,XP_019513502.1
GCF_000004195.4,HTT,KAE8628990.1
GCF_000090745.2,HTT,XP_008109517.2
GCF_000090745.2,HTT,XP_016849393.1
GCF_000090745.2,HTT,XP_016849394.1
GCF_001858045.2,HTT,XP_025763799.1
GCF_016699485.2,HTT,XP_040526089.1
GCF_021288785.2,HTT,XP_045737533.1
GCF_021288785.2,HTT,XP_054364987.1
GCF_021288785.2,HTT,XP_054364989.1
GCF_021288785.2,HTT,XP_054364991.1
GCF_000004195.4,HTT,KAE8628991.1
GCF_000001635.27,HTT,XP_017176172.1
GCF_010993605.1,HTT,XP_032806091.1
GCF_021288785.2,HTT,XP_054364988.1
GCF_010993605.1,HTT,XP_032806090.1
GCF_010993605.1,HTT,XP_032806092.1
GCF_014108235.1,HTT,KAF6387030.1
GCF_000001635.27,HTT,AAA37800.1
GCF_014570535.1,HTT,XP_036883165.1
GCF_002863925.1,RFC1,XP_014594117.1
GCF_002863925.1,RFC1,XP_014594118.1
GCF_009762305.2,RFC1,XP_027456018.1
GCF_009762305.2,RFC1,XP_027456017.1
GCF_023065955.2,RFC1,XP_026364534.2
GCF_023065955.2,RFC1,XP_026364535.2
GCF_006547405.1,RFC1,XP_030736921.1
GCF_011764305.1,RFC1,XP_004764068.2
GCF_000003025.6,RFC1,XP_005666645.1
GCF_000955945.1,RFC1,XP_011913305.1
GCF_018350175.1,RFC1,XP_011280220.3
GCF_006547405.1,RFC1,XP_030736922.1
GCF_000003025.6,RFC1,XP_005666646.1
GCF_011100685.1,RFC1,XP_005618678.1
GCF_011100685.1,RFC1,XP_038336736.1
GCF_014108235.1,RFC1,XP_036187377.1
GCF_014108235.1,RFC1,XP_036187373.1
GCF_011100685.1,RFC1,XP_038336745.1
GCF_014176215.1,RFC1,KAF6432256.1
GCF_014176215.1,RFC1,XP_015979767.2
GCF_014570535.1,RFC1,KAI5945932.1
GCF_003426925.1,RFC1,XP_026243169.1
GCF_015220235.1,RFC1,XP_037685535.1
GCF_000151735.1,RFC1,XP_013009784.1
GCF_000151735.1,RFC1,XP_013009785.1
GCF_000247695.1,RFC1,XP_004870353.2
GCF_001890085.2,RFC1,XP_019491548.1
GCF_015220235.1,RFC1,XP_037685536.1
GCF_000247695.1,RFC1,XP_021104259.1
GCF_015220235.1,RFC1,XP_037685533.1
GCF_001890085.2,RFC1,XP_019491550.1
GCF_000247695.1,RFC1,XP_021104261.1
GCF_015220235.1,RFC1,XP_037685537.1
GCF_015220235.1,RFC1,XP_037685534.1
GCF_000247695.1,RFC1,XP_021104260.1
GCF_006547405.1,RFC1,XP_030736923.1
GCF_001890085.2,RFC1,XP_019491551.1
GCF_014108235.1,RFC1,XP_036187381.1
GCF_023159225.1,RFC1,XP_048219929.1
GCF_006547405.1,RFC1,XP_030736929.1
GCF_006547405.1,RFC1,XP_030736926.1
GCF_014176215.1,RFC1,KAF6432254.1
GCF_023159225.1,RFC1,XP_048219930.1
GCF_017639785.1,RFC1,XP_040603044.1
GCF_017639785.1,RFC1,XP_040603045.1
GCF_021288785.2,RFC1,XP_054365049.1
GCF_020740685.1,RFC1,XP_045017613.1
GCF_020740685.1,RFC1,XP_045017614.1
GCF_027595985.1,RFC1,XP_054993580.1
GCF_000622305.1,RFC1,XP_008831454.1
GCF_002204375.1,RFC1,XP_021496345.1
GCF_907164565.1,RFC1,XP_055480058.1
GCF_002204375.1,RFC1,XP_021496344.1
GCF_015220235.1,RFC1,XP_037658342.1
GCF_002204375.1,RFC1,XP_021496346.1
GCF_000001635.27,RFC1,P35601.2
GCF_002204375.1,RFC1,XP_021496348.1
GCF_014570535.1,RFC1,XP_036858590.1
GCF_000001635.27,RFC1,AAA21643.1
GCF_907164565.1,RFC1,XP_055480056.1
GCF_907164565.1,RFC1,XP_055480057.1
GCF_907164565.1,RFC1,XP_055480060.1
GCF_000001635.27,RFC1,NP_035388.2
GCF_002204375.1,RFC1,XP_021496347.1
GCF_006547405.1,RFC1,XP_030736927.1
GCF_009762305.2,RFC1,XP_027456019.1
GCF_907164565.1,RFC1,XP_055480059.1
GCF_000001635.27,RFC1,NP_001334286.1
GCF_000001635.27,RFC1,EDL37732.1
GCF_000001635.27,RFC1,NP_001334287.1
GCF_000001635.27,RFC1,AAA79698.1
GCF_002863925.1,RFC1,XP_014594120.1
GCF_000001635.27,RFC1,NP_001408137.1
GCF_023065955.2,RFC1,XP_044243606.1
GCF_000001635.27,RFC1,AAC52140.1
GCF_000001635.27,RFC1,NP_001408138.1
GCF_000001635.27,RFC1,EDL37733.1
GCF_014108235.1,RFC1,XP_036187386.1
GCF_002863925.1,RFC1,XP_023493987.1
GCF_000003025.6,RFC1,XP_013834052.1
GCF_014176215.1,RFC1,KAF6432255.1
GCF_000247695.1,RFC1,EHB16211.1
GCF_011100635.1,RFC1,XP_036618227.1
GCF_027887165.1,RFC1,XP_007496618.1
GCF_002099425.1,RFC1,XP_020847291.1
GCF_027887165.1,RFC1,XP_007496617.1
GCF_019393635.1,RFC1,XP_043828731.1
GCF_002099425.1,RFC1,XP_020847263.1
GCF_027887165.1,RFC1,XP_007496619.1
GCF_902635505.1,RFC1,XP_031800123.1
GCF_002099425.1,RFC1,XP_020847271.1
GCF_014108235.1,RFC1,XP_036187395.1
GCF_002099425.1,RFC1,XP_020847298.1
GCF_015852505.1,RFC1,XP_038608447.1
GCF_014176215.1,RFC1,KAF6432252.1
GCF_004115215.2,RFC1,XP_028902330.1
GCF_027887165.1,RFC1,XP_007496620.1
GCF_016699485.2,RFC1,XP_046772214.1
GCF_016699485.2,RFC1,XP_046772213.1
GCF_016699485.2,RFC1,XP_015141136.3
GCF_016699485.2,RFC1,CAG31651.1
GCF_016699485.2,RFC1,NP_001006456.2
GCF_016699485.2,RFC1,XP_046796140.1
GCF_005870125.1,RFC1,XP_021388860.2
GCF_005870125.1,RFC1,OWK54686.1
GCF_005870125.1,RFC1,XP_021388859.1
GCF_016699485.2,RFC1,XP_046772215.1
GCF_016699485.2,RFC1,XP_046772216.1
GCF_016699485.2,RFC1,XP_015141138.3
GCF_016699485.2,RFC1,XP_040554954.1
GCF_004115215.2,RFC1,XP_028902331.1
GCF_004329235.1,RFC1,XP_028601072.1
GCF_004329235.1,RFC1,XP_028601073.1
GCF_000090745.2,RFC1,XP_016849372.1
GCF_000004195.4,RFC1,KAE8629388.1
GCF_000004195.4,RFC1,NP_001186496.1
GCF_000004195.4,RFC1,KAE8629389.1
GCF_028641065.1,RFC1,XP_055493530.1
GCF_011764305.1,RFC1,CAI5680299.1
GCF_001858045.2,RFC1,XP_013131181.1
GCF_900408965.1,RFC1,XP_039880253.1
GCF_011764305.1,RFC1,CAI5680298.1
GCF_011764305.1,RFC1,CAI5680297.1
GCF_000004195.4,RFC1,KAE8629390.1
GCF_027744805.1,RFC1,XP_054634940.1
GCF_027744805.1,RFC1,XP_054634941.1
GCF_027744805.1,RFC1,XP_054634942.1
GCF_902827165.1,RFC1,XP_033976214.1
GCF_902827165.1,RFC1,XP_033976213.1
GCF_010993605.1,RFC1,XP_032811160.1
GCF_014108235.1,RFC1,XP_036187392.1
GCF_006547405.1,RFC1,XP_030736928.1
GCF_014176215.1,RFC1,KAF6432253.1
GCF_000001635.27,RFC1,BAE26945.1
GCF_002863925.1,JPH3,XP_001502768.4
GCF_907164565.1,JPH3,XP_055476874.1
GCF_002204375.1,JPH3,XP_021486826.1
GCF_014176215.1,JPH3,XP_015984922.2
GCF_000003025.6,JPH3,XP_013853585.2
GCF_001890085.2,JPH3,XP_019490636.1
GCF_014108235.1,JPH3,XP_036202772.1
GCF_017639785.1,JPH3,XP_005073168.1
GCF_011100635.1,JPH3,XP_036607496.1
GCF_020740685.1,JPH3,XP_004666108.2
GCF_000001635.27,JPH3,NP_065630.1
GCF_000001635.27,JPH3,BAC38666.1
GCF_000001635.27,JPH3,BAC32465.1
GCF_000247695.1,JPH3,XP_004842820.1
GCF_021288785.2,JPH3,XP_045746556.1
GCF_002099425.1,JPH3,XP_020844865.1
GCF_027887165.1,JPH3,XP_001366198.1
GCF_902635505.1,JPH3,XP_003758516.1
GCF_009762305.2,JPH3,XP_027474334.1
GCF_000622305.1,JPH3,XP_008838786.1
GCF_023065955.2,JPH3,XP_026350424.2
GCF_011764305.1,JPH3,XP_004753903.1
GCF_000955945.1,JPH3,XP_011928332.1
GCF_003426925.1,JPH3,XP_026257701.1
GCF_016699485.2,JPH3,XP_015148144.2
GCF_000151735.1,JPH3,XP_003461182.1
GCF_004115215.2,JPH3,XP_003431450.3
GCF_015852505.1,JPH3,XP_038610402.1
GCF_018350175.1,JPH3,XP_003998371.2
GCF_004329235.1,JPH3,XP_028595769.1
GCF_005870125.1,JPH3,XP_031361757.1
GCF_019393635.1,JPH3,XP_043838356.1
GCF_014570535.1,JPH3,KAI5938975.1
GCF_027887165.1,JPH3,XP_016283356.1
GCF_014570535.1,JPH3,XP_017533217.2
GCF_015220235.1,JPH3,XP_037672353.1
GCF_000001635.27,JPH3,EDL11665.1
GCF_000004195.4,JPH3,XP_017949016.1
GCF_027595985.1,JPH3,XP_055002179.1
GCF_009762305.2,JPH3,XP_027474335.1
GCF_005870125.1,JPH3,OWK56705.1
GCF_028641065.1,JPH3,XP_055505036.1
GCF_014108235.1,JPH3,KAF6285791.1
GCF_000090745.2,JPH3,XP_008122594.1
GCF_027744805.1,JPH3,XP_054631884.1
GCF_902827165.1,JPH3,XP_033996948.1
GCF_011764305.1,JPH3,CAI5667970.1
GCF_900408965.1,JPH3,XP_039891286.1
GCF_001858045.2,JPH3,XP_025765044.1
GCF_000247695.1,JPH3,XP_021112295.1
GCF_004115215.2,JPH3,XP_039769456.1
GCF_900408965.1,JPH3,XP_039891277.1
GCF_016699485.2,JPH3,XP_040537336.1
GCF_027744805.1,JPH3,XP_054631885.1
GCF_900408965.1,JPH3,XP_039897088.1
GCF_902827165.1,JPH3,XP_033971958.1
GCF_001858045.2,JPH3,XP_003452647.2
GCF_027744805.1,JPH3,XP_054627782.1
GCF_900408965.1,JPH3,XP_039900019.1
GCF_001858045.2,JPH3,XP_003443521.1
GCF_000004195.4,JPH3,KAE8599038.1
GCF_027744805.1,JPH3,XP_054621248.1
GCF_000004195.4,JPH3,NP_001120224.1
GCF_000004195.4,JPH3,XP_002933232.1
GCF_028641065.1,JPH3,XP_055490473.1
GCF_902827165.1,JPH3,XP_033988325.1
GCF_017639785.1,JPH3,XP_005066828.1
GCF_000090745.2,JPH3,XP_008106808.1
GCF_014570535.1,JPH3,XP_017497780.1
GCF_000622305.1,JPH3,XP_008847122.1
GCF_000003025.6,JPH3,XP_020944847.1
GCF_023065955.2,JPH3,XP_026351653.2
GCF_000247695.1,JPH3,XP_004842099.1
GCF_000955945.1,JPH3,XP_011887314.1
GCF_011764305.1,JPH3,XP_004762391.1
GCF_000247695.1,JPH3,EHB14199.1
GCF_006547405.1,JPH3,XP_030715398.1
GCF_014570535.1,JPH3,XP_036854111.1
GCF_907164565.1,JPH3,XP_055459379.1
GCF_002204375.1,JPH3,XP_021513630.1
GCF_005870125.1,JPH3,XP_021386264.1
GCF_000090745.2,JPH3,XP_003220684.1
GCF_027887165.1,JPH3,XP_007487004.1
GCF_000001635.27,JPH3,EDL14359.1
GCF_902635505.1,JPH3,XP_003759747.1
GCF_000001635.27,JPH3,NP_065629.1
GCF_014108235.1,JPH3,XP_036194453.1
GCF_016699485.2,JPH3,XP_040521833.1
GCF_016699485.2,JPH3,XP_015138360.2
GCF_014108235.1,JPH3,XP_036194456.1
GCF_014108235.1,JPH3,XP_036194455.1
GCF_011100685.1,JPH3,XP_005638110.1
GCF_011764305.1,JPH3,CAI5661294.1
GCF_902827165.1,JPH3,XP_033974359.1
GCF_001858045.2,JPH3,XP_003456768.1
GCF_902827165.1,JPH3,XP_033987585.1
GCF_900408965.1,JPH3,XP_039892901.1
GCF_028641065.1,JPH3,XP_055490476.1
GCF_004329235.1,JPH3,XP_028592511.1
GCF_015220235.1,JPH3,XP_037659223.1
GCF_027595985.1,JPH3,XP_004602441.1
GCF_004329235.1,JPH3,XP_028592509.1
GCF_023159225.1,JPH3,XP_048214999.1
GCF_019393635.1,JPH3,XP_043831898.1
GCF_016699485.2,JPH3,XP_024998174.2
GCF_002099425.1,JPH3,XP_020826690.1
GCF_011100635.1,JPH3,XP_036597031.1
GCF_016699485.2,JPH3,XP_040544531.1
GCF_902827165.1,JPH3,XP_033988327.1
GCF_027744805.1,JPH3,XP_054623761.1
GCF_027744805.1,JPH3,XP_054653931.1
GCF_005870125.1,JPH3,XP_021396601.1
GCF_010993605.1,JPH3,XP_032816239.1
GCF_017639785.1,JPH3,XP_021080923.1
GCF_003426925.1,JPH3,XP_026239036.1
GCF_020740685.1,JPH3,XP_004660616.1
GCF_902635505.1,JPH3,XP_012395237.1
GCF_011764305.1,JPH3,CAI5648551.1
GCF_000955945.1,JPH3,XP_011887315.1
GCF_028641065.1,JPH3,XP_055508509.1
GCF_017639785.1,JPH3,XP_040588842.1
GCF_900408965.1,JPH3,XP_039894111.1
GCF_014570535.1,JPH3,XP_036868768.1
GCF_019393635.1,JPH3,XP_043845570.1
GCF_000247695.1,JPH3,XP_004858256.1
GCF_000955945.1,JPH3,XP_011921094.1
GCF_001890085.2,JPH3,XP_019492433.1
GCF_011100635.1,JPH3,XP_036608977.1
GCF_014176215.1,JPH3,XP_016007917.2
GCF_014176215.1,JPH3,XP_016009175.2
GCF_014176215.1,JPH3,XP_036085267.1
GCF_002099425.1,JPH3,XP_020839796.1
GCF_000003025.6,JPH3,XP_020933179.1
GCF_000247695.1,JPH3,XP_004842101.1
GCF_004329235.1,JPH3,XP_028590922.1
GCF_000247695.1,JPH3,XP_021111671.1
GCF_027595985.1,JPH3,XP_054983712.1
GCF_014108235.1,JPH3,XP_036178671.1
GCF_027887165.1,JPH3,XP_001369593.1
GCF_015220235.1,JPH3,XP_037668044.1
GCF_009762305.2,JPH3,XP_027479960.1
GCF_023065955.2,JPH3,XP_026358713.3
GCF_015220235.1,JPH3,XP_037668046.1
GCF_005870125.1,JPH3,OWK52313.1
GCF_002204375.1,JPH3,XP_021491995.1
GCF_004115215.2,JPH3,XP_028926458.1
GCF_907164565.1,JPH3,XP_055458156.1
GCF_015852505.1,JPH3,XP_038606631.1
GCF_000001635.27,JPH3,NP_001192005.1
GCF_023159225.1,JPH3,XP_048205416.1
GCF_011764305.1,JPH3,XP_044938116.1
GCF_001890085.2,JPH3,XP_019492434.1
GCF_018350175.1,JPH3,XP_023106984.2
GCF_002863925.1,JPH3,XP_023482375.1
GCF_020740685.1,JPH3,XP_045013066.1
GCF_021288785.2,JPH3,XP_054366078.1
GCF_011100685.1,JPH3,XP_038313862.1
GCF_015220235.1,JPH3,XP_037668049.1
GCF_015220235.1,JPH3,XP_037668047.1
GCF_015220235.1,JPH3,XP_037668048.1
GCF_010993605.1,JPH3,XP_032830642.1
GCF_027595985.1,JPH3,XP_054995477.1
GCF_000247695.1,JPH3,EHB07126.1
GCF_000622305.1,JPH3,XP_008849222.1
GCF_009762305.2,JPH3,XP_027479961.1
GCF_010993605.1,JPH3,XP_032827194.1
GCF_010993605.1,JPH3,XP_032827193.1
GCF_004329235.1,JPH3,XP_028557510.1
GCF_000090745.2,JPH3,XP_003229364.1
GCF_011764305.1,JPH3,CAI5672129.1
GCF_000151735.1,JPH3,XP_012999224.1
GCF_000090745.2,JPH3,XP_016854032.1
GCF_000004195.4,JPH3,XP_002941565.1
GCF_000004195.4,JPH3,KAE8633510.1
GCF_004115215.2,JPH3,XP_028925170.1
GCF_014108235.1,JPH3,KAF6387128.1
GCF_001890085.2,JPH3,XP_019518599.1
GCF_027595985.1,JPH3,XP_054989957.1
GCF_000247695.1,JPH3,XP_004864205.1
GCF_015852505.1,JPH3,XP_038622564.1
GCF_014108235.1,JPH3,XP_036211140.1
GCF_000003025.6,JPH3,XP_001928705.3
GCF_000003025.6,JPH3,XP_005666308.1
GCF_000151735.1,JPH3,XP_003474525.1
GCF_011764305.1,JPH3,XP_004755341.1
GCF_001890085.2,JPH3,XP_019518598.1
GCF_015220235.1,JPH3,XP_037690512.1
GCF_001890085.2,JPH3,XP_019518597.1
GCF_000955945.1,JPH3,XP_011943834.1
GCF_014176215.1,JPH3,XP_015975986.1
GCF_000001635.27,JPH3,NP_796023.2
GCF_018350175.1,JPH3,XP_019689348.2
GCF_907164565.1,JPH3,XP_055471900.1
GCF_002204375.1,JPH3,XP_021520202.1
GCF_023065955.2,JPH3,XP_026342275.1
GCF_014570535.1,JPH3,XP_017500448.1
GCF_017639785.1,JPH3,XP_005085640.1
GCF_003426925.1,JPH3,XP_026261907.1
GCF_002863925.1,JPH3,XP_023478302.1
GCF_002863925.1,JPH3,XP_023478310.1
GCF_020740685.1,JPH3,XP_004661864.1
GCF_000622305.1,JPH3,XP_008838074.1
GCF_027887165.1,JPH3,XP_003340095.2
GCF_014108235.1,JPH3,KAF6387126.1
GCF_002099425.1,JPH3,XP_020822364.1
GCF_011100635.1,JPH3,XP_036590159.1
GCF_902635505.1,JPH3,XP_031810929.1
GCF_000247695.1,JPH3,XP_021099576.1
GCF_023159225.1,JPH3,XP_048218758.1
GCF_019393635.1,JPH3,XP_043841660.1
GCF_014176215.1,JPH3,XP_015975987.1
GCF_014176215.1,JPH3,KAF6485032.1
GCF_014570535.1,JPH3,XP_017500449.1
GCF_000247695.1,JPH3,EHB00035.1
GCF_004115215.2,JPH3,XP_028933065.1
GCF_000001635.27,JPH3,AAR11536.1
GCF_015852505.1,JPH3,XP_038597446.1
GCF_001890085.2,JPH3,XP_019499171.1
GCF_016699485.2,JPH3,XP_046793596.1
GCF_000151735.1,JPH3,XP_003467813.2
GCF_014176215.1,JPH3,KAF6404894.1
GCF_000955945.1,PHOX2B,XP_011913229.1
GCF_014108235.1,PHOX2B,XP_036156417.1
GCF_011764305.1,PHOX2B,XP_044932823.1
GCF_027887165.1,PHOX2B,XP_001365345.1
GCF_015220235.1,PHOX2B,XP_037684850.1
GCF_002204375.1,PHOX2B,XP_021491153.1
GCF_011100685.1,PHOX2B,XP_038540531.1
GCF_014176215.1,PHOX2B,XP_016016163.2
GCF_002099425.1,PHOX2B,XP_020845266.1
GCF_020740685.1,PHOX2B,XP_045017130.1
GCF_002863925.1,PHOX2B,XP_001917289.2
GCF_001890085.2,PHOX2B,XP_019496294.1
GCF_000247695.1,PHOX2B,XP_021117918.1
GCF_000622305.1,PHOX2B,XP_029416541.1
GCF_000151735.1,PHOX2B,XP_005004550.1
GCF_004329235.1,PHOX2B,XP_028600641.1
GCF_000004195.4,PHOX2B,NP_001116492.1
GCF_000004195.4,PHOX2B,XP_012817077.1
GCF_027744805.1,PHOX2B,XP_054648091.1
GCF_001858045.2,PHOX2B,XP_003443400.1
GCF_902827165.1,PHOX2B,XP_033989730.1
GCF_000247695.1,PHOX2B,EHA97953.1
GCF_028641065.1,PHOX2B,XP_055492949.1
GCF_015852505.1,PHOX2B,XP_038625281.1
GCF_016699485.2,PHOX2B,XP_015140956.1
GCF_004115215.2,PHOX2B,XP_028932209.1
GCF_027744805.1,PHOX2B,XP_054650377.1
GCF_004329235.1,PHOX2B,XP_028581614.1
GCF_000004195.4,PHOX2B,NP_001239128.1
GCF_001858045.2,PHOX2B,XP_003449301.1
GCF_005870125.1,PHOX2B,XP_021391071.1
GCF_028641065.1,PHOX2B,XP_055487503.1
GCF_010993605.1,PHOX2B,XP_032811320.1
GCF_010993605.1,PHOX2B,XP_032811319.1
GCF_015852505.1,PHOX2B,XP_038597278.1
GCF_000151735.1,PHOX2B,XP_003463512.1
GCF_000247695.1,PHOX2B,XP_004863358.1
GCF_004115215.2,PHOX2B,XP_028911305.1
GCF_014108235.1,PHOX2B,XP_036181000.1
GCF_002204375.1,PHOX2B,XP_021496649.1
GCF_000001635.27,PHOX2B,NP_032913.1
GCF_017639785.1,PHOX2B,XP_005074085.1
GCF_015220235.1,PHOX2B,XP_037696456.1
GCF_023159225.1,PHOX2B,XP_048216874.1
GCF_027595985.1,PHOX2B,XP_004618328.2
GCF_020740685.1,PHOX2B,XP_004650819.2
GCF_003426925.1,PHOX2B,XP_026256880.1
GCF_001890085.2,PHOX2B,XP_019481138.1
GCF_014570535.1,PHOX2B,XP_017528522.2
GCF_002863925.1,PHOX2B,XP_001499207.1
GCF_000003025.6,PHOX2B,XP_020918132.1
GCF_011764305.1,PHOX2B,XP_004768185.1
GCF_023065955.2,PHOX2B,XP_026373779.1
GCF_000622305.1,PHOX2B,XP_029412477.1
GCF_907164565.1,PHOX2B,XP_055479606.1
GCF_014176215.1,PHOX2B,XP_016013476.1
GCF_000001635.27,PHOX2B,EDL16521.1
GCF_011100635.1,PHOX2B,XP_036603874.1
GCF_002099425.1,PHOX2B,XP_020823359.1
GCF_902635505.1,PHOX2B,XP_003764751.1
GCF_010993605.1,PHOX2B,XP_032816219.1
GCF_000004195.4,PHOX2B,KAE8628305.1
GCF_028641065.1,PHOX2B,XP_055506887.1
GCF_000955945.1,CACNA1A,XP_011949480.1
GCF_000955945.1,CACNA1A,XP_011949479.1
GCF_009762305.2,CACNA1A,XP_027442163.1
GCF_000003025.6,CACNA1A,XP_020939369.1
GCF_009762305.2,CACNA1A,XP_027442160.1
GCF_009762305.2,CACNA1A,XP_027442159.1
GCF_001890085.2,CACNA1A,XP_019519693.1
GCF_001890085.2,CACNA1A,XP_019519691.1
GCF_001890085.2,CACNA1A,XP_019519687.1
GCF_011100685.1,CACNA1A,XP_038311028.1
GCF_001890085.2,CACNA1A,XP_019519689.1
GCF_001890085.2,CACNA1A,XP_019519688.1
GCF_021288785.2,CACNA1A,XP_054360867.1
GCF_011100685.1,CACNA1A,XP_038284350.1
GCF_009762305.2,CACNA1A,XP_027442162.1
GCF_001890085.2,CACNA1A,XP_019519686.1
